9.1387 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
109.9567 	DATA 	Keypress: up
109.9619 	EXP 	fixation: autoDraw = False
109.9619 	EXP 	grating: autoDraw = False
109.9619 	EXP 	grating: ori = 0.0
109.9619 	EXP 	fixation: autoDraw = True
110.9645 	EXP 	fixation: autoDraw = False
110.9645 	EXP 	grating: autoDraw = True
111.2650 	EXP 	grating: autoDraw = False
111.6532 	EXP 	New trial (rep=31, index=0): None
111.6555 	DATA 	Keypress: down
111.6643 	EXP 	fixation: autoDraw = False
111.6643 	EXP 	grating: autoDraw = False
111.6643 	EXP 	grating: ori = -5.0
111.6643 	EXP 	fixation: autoDraw = True
111.6660 	DATA 	Keypress: up
112.6649 	EXP 	fixation: autoDraw = False
112.6649 	EXP 	grating: autoDraw = True
112.9639 	EXP 	grating: autoDraw = False
113.2880 	EXP 	New trial (rep=32, index=0): None
113.2900 	DATA 	Keypress: down
113.3027 	EXP 	fixation: autoDraw = False
113.3027 	EXP 	grating: autoDraw = False
113.3027 	EXP 	grating: ori = -4.0
113.3027 	EXP 	fixation: autoDraw = True
114.2933 	EXP 	grating: autoDraw = True
114.3096 	EXP 	fixation: autoDraw = False
114.5933 	EXP 	grating: autoDraw = False
115.1195 	EXP 	New trial (rep=33, index=0): None
115.1217 	DATA 	Keypress: down
115.1317 	EXP 	fixation: autoDraw = False
115.1317 	EXP 	grating: autoDraw = False
115.1317 	EXP 	grating: ori = 0.0
115.1317 	EXP 	fixation: autoDraw = True
116.1313 	EXP 	fixation: autoDraw = False
116.1313 	EXP 	grating: autoDraw = True
116.4331 	EXP 	grating: autoDraw = False
116.7005 	EXP 	New trial (rep=34, index=0): None
116.7016 	DATA 	Keypress: up
116.7137 	EXP 	fixation: autoDraw = False
116.7137 	EXP 	grating: autoDraw = False
116.7137 	EXP 	grating: ori = 1.0
116.7137 	EXP 	fixation: autoDraw = True
117.7093 	EXP 	grating: autoDraw = True
117.7261 	EXP 	fixation: autoDraw = False
118.0095 	EXP 	grating: autoDraw = False
118.3298 	EXP 	New trial (rep=35, index=0): None
118.3318 	DATA 	Keypress: up
118.3426 	EXP 	fixation: autoDraw = False
118.3426 	EXP 	grating: autoDraw = False
118.3426 	EXP 	grating: ori = 0.0
118.3426 	EXP 	fixation: autoDraw = True
119.3311 	EXP 	grating: autoDraw = True
119.3482 	EXP 	fixation: autoDraw = False
119.6302 	EXP 	grating: autoDraw = False
119.9207 	EXP 	New trial (rep=36, index=0): None
119.9273 	DATA 	Keypress: up
119.9425 	EXP 	fixation: autoDraw = False
119.9425 	EXP 	grating: autoDraw = False
119.9425 	EXP 	grating: ori = 0.0
119.9425 	EXP 	fixation: autoDraw = True
120.9259 	EXP 	grating: autoDraw = True
120.9440 	EXP 	fixation: autoDraw = False
121.2257 	EXP 	grating: autoDraw = False
121.5627 	EXP 	New trial (rep=37, index=0): None
121.5644 	DATA 	Keypress: up
121.5756 	EXP 	fixation: autoDraw = False
121.5756 	EXP 	grating: autoDraw = False
121.5756 	EXP 	grating: ori = 0.0
121.5756 	EXP 	fixation: autoDraw = True
122.5757 	EXP 	fixation: autoDraw = False
122.5757 	EXP 	grating: autoDraw = True
122.8805 	EXP 	grating: autoDraw = False
123.2720 	EXP 	New trial (rep=38, index=0): None
123.2738 	DATA 	Keypress: up
123.2829 	EXP 	fixation: autoDraw = False
123.2829 	EXP 	grating: autoDraw = False
123.2829 	EXP 	grating: ori = 4.0
123.2829 	EXP 	fixation: autoDraw = True
124.2755 	EXP 	grating: autoDraw = True
124.2923 	EXP 	fixation: autoDraw = False
